City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
354,alto araguaia,-17.3147,-53.2153,34.11,15,97,2.89,BR,1727209930
355,odemira,37.598,-8.6397,17.98,95,100,2.7,PT,1727209931
356,nuku'alofa,-21.1333,-175.2,23.19,83,75,4.12,TO,1727209932
357,saldanha,-33.0117,17.9442,10.03,91,100,3.09,ZA,1727209934
358,narrabri,-30.3167,149.7833,20.29,56,100,3.13,AU,1727209935
359,t'aebaek,37.1759,128.9889,13.0,93,49,1.04,KR,1727209936
360,michelstadt,49.6736,9.0025,14.27,92,100,1.34,DE,1727209937
361,mount pearl,47.5166,-52.7813,11.19,89,100,6.69,CA,1727209938
362,santarem,-2.4431,-54.7083,34.07,49,20,4.12,BR,1727209921
363,kuching,1.55,110.3333,26.69,77,40,2.68,MY,1727209941
364,ta`u,-14.2336,-169.5144,26.61,82,24,6.35,AS,1727209942
